Place_Name,City,Category,Price,Rating,Jumlah_Review,Time_Minutes,D_pos,D_neg,TOPSIS_Score,TOPSIS_Rank
Perpustakaan Nasional,Jakarta,Budaya,0,4.7,23,240.0,0.0285,0.2275,0.8887,1
Ledok Sambi,Yogyakarta,Cagar Alam,0,4.6,28,150.0,0.0415,0.2254,0.8445,2
Taman Sungai Mudal,Yogyakarta,Cagar Alam,10000,4.6,36,150.0,0.0409,0.2183,0.8421,3
Museum Benteng Vredeburg Yogyakarta,Yogyakarta,Budaya,3000,4.6,32,120.0,0.0462,0.2228,0.8282,4
Grand Indonesia Mall,Jakarta,Pusat Perbelanjaan,0,4.7,27,120.0,0.0473,0.2247,0.8262,5
Plaza Indonesia,Jakarta,Pusat Perbelanjaan,0,4.7,26,120.0,0.0476,0.2246,0.8252,6
Museum Tengah Kebun,Jakarta,Budaya,0,4.6,26,120.0,0.0476,0.2246,0.825,7
Museum Sonobudoyo Unit I,Yogyakarta,Budaya,5000,4.6,23,120.0,0.049,0.2203,0.8181,8
Kebun Tanaman Obat Sari Alam,Bandung,Cagar Alam,0,4.9,31,90.0,0.0518,0.2247,0.8125,9
Pantai Kesirat,Yogyakarta,Bahari,5000,4.6,37,90.0,0.0516,0.2215,0.811,10
Galeri Indonesia Kaya,Jakarta,Budaya,0,4.8,26,90.0,0.053,0.2242,0.8087,11
Kota Tua,Jakarta,Budaya,0,4.6,25,90.0,0.0534,0.2241,0.8074,12
Kota Lama Semarang,Semarang,Budaya,0,4.7,21,90.0,0.0549,0.2238,0.803,13
Seribu Batu Songgo Langit,Yogyakarta,Cagar Alam,2000,4.6,22,90.0,0.0546,0.2222,0.8028,14
Museum Basoeki Abdullah,Jakarta,Budaya,1000,4.6,19,90.0,0.0559,0.2229,0.7996,15
Puncak Kebun Buah Mangunan,Yogyakarta,Taman Hiburan,5000,4.6,20,90.0,0.0556,0.2196,0.7981,16
Pantai Timang,Yogyakarta,Bahari,10000,4.7,22,90.0,0.0551,0.2156,0.7964,17
Alun-Alun Kota Bandung,Bandung,Taman Hiburan,0,4.6,26,60.0,0.0587,0.2239,0.7924,18
Alun Alun Selatan Yogyakarta,Yogyakarta,Taman Hiburan,0,4.6,26,60.0,0.0587,0.2239,0.7924,18
Semarang Contemporary Art Gallery,Semarang,Budaya,10000,4.6,19,90.0,0.0565,0.2155,0.7923,20
Balai Kota Surabaya,Surabaya,Budaya,0,4.7,22,60.0,0.0599,0.2236,0.7887,21
"Bukit Paralayang, Watugupit",Yogyakarta,Cagar Alam,5000,4.7,13,90.0,0.0592,0.2194,0.7876,22
Taman Balai Kota Bandung,Bandung,Taman Hiburan,0,4.6,30,45.0,0.0606,0.2242,0.7873,23
Candi Ijo,Yogyakarta,Budaya,5000,4.6,23,60.0,0.0597,0.2195,0.7861,24
Rainbow Garden,Bandung,Cagar Alam,20000,4.6,23,90.0,0.0566,0.2075,0.7856,25
Museum Konferensi Asia Afrika,Bandung,Budaya,0,4.6,19,60.0,0.0611,0.2234,0.7851,26
Taman Sejarah Bandung,Bandung,Budaya,0,4.6,25,45.0,0.0617,0.2237,0.7838,27
Indonesia Kaya Park,Semarang,Taman Hiburan,0,4.6,25,45.0,0.0617,0.2237,0.7838,27
Alun-alun Utara Keraton Yogyakarta,Yogyakarta,Budaya,0,4.6,17,60.0,0.062,0.2233,0.7826,29
Museum Sasmita Loka Ahmad Yani,Jakarta,Budaya,2000,4.7,24,45.0,0.062,0.222,0.7817,30
Bendung Lepen,Yogyakarta,Taman Hiburan,0,4.6,16,60.0,0.0625,0.2233,0.7812,31
Nol Kilometer Jl.Malioboro,Yogyakarta,Taman Hiburan,0,4.7,21,45.0,0.063,0.2234,0.7801,32
Museum De Javasche Bank,Surabaya,Budaya,5000,4.6,17,60.0,0.0622,0.2192,0.779,33
Museum Kebangkitan Nasional,Jakarta,Budaya,2000,4.7,19,45.0,0.0638,0.2217,0.7765,34
Patung Sura dan Buaya,Surabaya,Budaya,0,4.6,24,30.0,0.0648,0.2236,0.7754,35
Puncak Gunung Api Purba - Nglanggeran,Yogyakarta,Cagar Alam,10000,4.7,17,60.0,0.0625,0.2151,0.7747,36
Taman Spathodea,Jakarta,Taman Hiburan,0,4.6,23,30.0,0.0651,0.2235,0.7745,37
Monumen Tugu Pahlawan,Surabaya,Budaya,0,4.7,19,30.0,0.0665,0.2233,0.7706,38
Tugu Pal Putih Jogja,Yogyakarta,Taman Hiburan,0,4.7,27,15.0,0.0667,0.2238,0.7703,39
Monumen Jalesveva Jayamahe,Surabaya,Budaya,0,4.6,22,15.0,0.0681,0.2234,0.7663,40
Monumen Selamat Datang,Jakarta,Budaya,0,4.7,19,15.0,0.0692,0.2232,0.7635,41
Curug Cimahi,Bandung,Cagar Alam,15000,4.6,21,30.0,0.0669,0.211,0.7592,42
Sudut Pandang Bandung,Bandung,Taman Hiburan,50000,4.6,24,150.0,0.0597,0.1841,0.7553,43
Orchid Forest Cikole,Bandung,Taman Hiburan,50000,4.6,24,150.0,0.0597,0.1841,0.7553,43
Monumen Nasional,Jakarta,Budaya,20000,4.6,18,15.0,0.0715,0.2067,0.7429,45
Candi Borobudur,Yogyakarta,Budaya,50000,4.7,19,120.0,0.0653,0.1831,0.737,46
Candi Ratu Boko,Yogyakarta,Budaya,75000,4.6,24,90.0,0.0821,0.1624,0.6643,47
Museum Ullen Sentalu,Yogyakarta,Budaya,100000,4.7,12,120.0,0.0991,0.1419,0.5887,48
Kidzania,Jakarta,Taman Hiburan,185000,4.6,21,300.0,0.1545,0.0894,0.3664,49
Dunia Fantasi,Jakarta,Taman Hiburan,270000,4.6,19,360.0,0.2242,0.0661,0.2278,50
